# The freeze audit's trust root (ADR 0027). One row per issue in the committed
# snapshot (state=active) plus every issue this audit has resolved (state=resolved).
# BOTH tables in docs/freeze-audit.md are GENERATED from this file by
# render-audit.sh, and check-freeze-audit.sh fails if the page and a fresh render
# diverge. Do not edit the page's tables by hand.
#
# What moved on a frozen surface is NOT recorded here. It lives in
# surface-changes.tsv, one row per change, because a change is
# (surface, item, kind, before, after, commit, issues, legality) and issues and
# changes are many-to-many: one commit carried five issues and one issue caused
# two changes. Folding that into a single-valued column here lost four of the
# window's five closed-set additions in the first draft of this schema.
#
# Columns (tab-separated):
#   number              bare issue number, no '#'
#   state               active | resolved. An active row is an open issue in the
#                       committed snapshot; a resolved row is one this audit has
#                       seen closed. The gate counts active rows for completeness
#                       and requires a resolved row for every snapshot issue that
#                       has since closed.
#   what_it_is          the row's one-line description
#   surface_forecast    active rows only: which frozen surface resolving the issue
#                       AS FILED would move, space-separated, or 'none'. This is a
#                       FORECAST, not a measurement. '-' on resolved rows.
#                         config-format | report-schema | exit-codes
#                         | replay-compatibility | mcp-surface | none
#   surface_change_ids  resolved rows only: the change_id(s) in surface-changes.tsv
#                       this issue's resolution caused, 'none' if the surface diff
#                       found nothing attributable to it, or 'not-measured' when the
#                       issue closed BEFORE this sweep's window and no diff of this
#                       sweep says anything about it (the seventeen rows migrated
#                       from the 2026-08-17/18 sweeps). The first draft used 'none'
#                       for those too, and the render then read "measured: no frozen
#                       surface moved - yes - verdict soundness" on a row the older
#                       sweep had recorded as touching one. This IS a measurement
#                       where it says so - see ADR 0028's three rungs and what each
#                       can support. '-' on active rows.
#   surface_reason      why that forecast, or why none. Never empty.
#   class               A | B | C | D, on failure-direction grounds. Applies to
#                       every row, not only to touchers (owner ruling 2026-08-27).
#                         A  the gap can make PASS overclaim
#                         B  FAIL-side noise or precision
#                         C  ergonomics and diagnostics
#                         D  adversarial surface: the gap hands an attacker a
#                            capability against a consumer of the output or the
#                            operator's filesystem (owner ruling 2026-08-27; the
#                            five threat-model issues in this sweep fit none of
#                            A, B or C, and the historical rows had already
#                            resorted to 'A-adjacent' and 'C-shaped' twice)
#   disposition         allowed values depend on class. Class A is the restricted
#                       one, because it is the class prose cannot retire:
#                         A       -> fix, demote, narrow, measured-already-fixed,
#                                    duplicate
#                         B, C    -> fix, document, defer, tracked,
#                                    measured-already-fixed, duplicate
#                         D       -> the same as B and C, plus 'contain' (the
#                                    exposure is bounded by a stated operational
#                                    precondition rather than removed)
#                       'after-1.0' means the owner scheduled the work outside
#                       v1.0's scope, so the tag does not leave a frozen surface
#                       broken by it. NOTE THE ASYMMETRY: class A cannot take it.
#                       Scheduling a PASS-overclaim gap out of the release IS the
#                       outcome class A forbids, and an enum that accepted it there
#                       would let the one clause with teeth be satisfied by a
#                       calendar. It replaced 'defer' on the four open after-1.0
#                       rows because 'defer' is defined as deferral to 1.x, and
#                       these are deferred PAST the frozen contract's life --
#                       seven issues with one adjudication were carrying two words.
#                       Migrating the seventeen historical resolved rows is what
#                       showed this set had been written from the thirteen active
#                       ones alone: it had no room for 'document' on a C row
#                       (#12), for 'measured-already-fixed' outside class A (#6,
#                       #13), or for a duplicate (#165).
#   rationale           the prose that follows the disposition; '-' for none,
#                       never an empty trailing field.
number	state	what_it_is	surface_forecast	surface_change_ids	surface_reason	class	disposition	rationale
217	resolved	targets whose file I/O bypasses libc: the shim loads and hears nothing	-	none	an after-1.0 scheduling ruling; the wall record lives in docs/target-classes.md, outside the five surfaces	C	after-1.0	Closed 2026-08-27 as scheduled out of v1.0, not as resolved (state reason not-planned). The after-1.0 label and the title both carry the ruling; the raw-syscall wall row (cargo, the rename diagnosis in spike/cohort3/) stays in docs/target-classes.md.
257	active	determinism apparatus is rebuilt by hand per target; no declared-apparatus surface exists	config-format report-schema	-	a define naming its apparatus is an additive config key and the report carrying the declaration is an additive field; both sit inside the allowances surfaces 1 and 2 state	C	defer	Nothing here is tag-blocking, but the issue is right that the shape is cheaper to decide before the tag than after.
258	active	wall roadmap ordering: encounter frequency and contract cost disagree	none	-	a scheduling question about other issues, not a gap in a surface	C	defer	Asks for an explicit owner decision on post-tag order with the encounter table in front of it.
259	active	every cohort rewrites its probe, drill and transcript harness	none	-	spike apparatus, outside the five surfaces	C	defer	The re-derivations re-import bug classes review then has to re-find; three have recurred across cohorts.
260	active	selection rule 5 misses user-side recoverability: the poetry lesson	none	-	a selection rule for future cohorts, not a surface	C	defer	To settle before cohort 5 selects, per the issue.
261	active	the define cannot declare non-durable paths, and the L0 precision limit keeps consuming targets	config-format report-schema	-	either candidate shape — an ignore list in the define, or an L1 durability marker — adds a config key and a report field, both additive	B	defer	Four recorded shapes have already spent a target, a claim or an engine PR on this limit.
262	active	exploration is strictly sequential and every world pays the full state size	none	-	the cheap steps (binary search in find, a hash-first compare) touch no frozen surface; parallelism would, and the issue defers that	C	after-1.0	Labelled after-1.0. The tracked home for the throughput bound.
263	active	no timeout exists anywhere: one hung world stalls an explore forever, silently	report-schema	-	a named refusal for a wall-clock breach needs a new closed-set member, and the closed set is excluded from surface 2's additive allowance — so the naming, if that is the shape, can only land before the tag	C	defer	PRE-TAG DECISION OWED: the issue says the naming belongs before the tag even if the default stays off. Undecided as of this sweep.
272	resolved	the himalaya report's severity ceiling rests on three points the record marks unmeasured	-	none	three severity-ceiling measurements committed as cohort records (outward-reach.txt), outside the five surfaces	C	fix	Closed 2026-08-28 as completed: the three measurements the record marked unmeasured exist, committed in 37278fe as spike/cohort4/himalaya-r2/outward-reach.txt with a positive control beside each; RESULTS.md:115 and the CHANGELOG entry (#272, #288) are its index.
274	active	refusals help unevenly: the commonest detectors ship one word	none	-	enriching a refusal's message text, or a new diagnose subcommand, is CLI and message prose rather than a frozen field's meaning	C	defer	The refusal a new user hits first carries the least help; the discrimination it declines is cheap outside the engine.
275	active	sideeye.toml cannot carry oracle or work: a committed define stops one flag short	config-format	-	an oracle key is an additive config key, and surface 1 says in as many words that additive keys remain possible	C	defer	Not tag-blocking. The issue's own precedent (#95, the argv form) landed pre-freeze for convenience, not necessity.
276	active	the checker cookbook contains no checkers: four recipes, all pointers into spike/	none	-	documentation, outside the five surfaces	C	defer	The page's own premise is that the checker is the layer that fails quietest.
279	active	a contract bump orphans every saved case: three re-records paid by hand	replay-compatibility	-	surface 4 says a future trace-contract bump is not a broken promise, so what this issue asks for is a migration story about cost, not a change to the promise	C	after-1.0	Labelled after-1.0, but the issue is right that CI's regression-case story should name the helper before the first post-tag bump improvises it.
280	active	hand-synced pairs and untested cores inside src/	none	-	internal duplication with nothing pinning the copies together; no frozen surface	C	defer	Test weight sits away from the sharpest code, measured per file in the issue.
286	active	macOS verification without per-run root: three routes, none measured	report-schema	-	each route buys a verification claim weaker than oracle_verified, and the issue names the report vocabulary as the real contract surface	C	after-1.0	The owner priority recorded in the issue argues against defaulting it to after-1.0; the vocabulary decision is still open.
293	active	can FSEvents veto a mutation the shim never reported?	report-schema	-	any veto is a claim weaker than oracle_verified and needs its own name in the report, which the issue names as the contract-reopening half	C	defer	H1 measured and dead; H2 not judged. The apparatus is committed and reusable; what is missing is the corpus.
297	active	upstream-report-status.sh cannot see a report that was never added to its list	none	-	spike tooling, outside the five surfaces	C	defer	The failure mode is an absent row, not a wrong one, and the script's output cannot distinguish six-of-six from six-of-seven.
299	active	the other family: a recorder whose coverage is complete by construction	report-schema	-	a generated interposer would need its own claim vocabulary if it ever became a verification route	C	defer	Filed so it is not lost, explicitly not as a commitment.
318	active	an empty-diff claim drops its normalisation, and the record miscounts its own	none	-	committed prose, outside the five surfaces	C	defer	The class is at three instances, which is this repository's own full-sweep threshold.
323	resolved	the state tree's TOTAL is unbounded: the per-file cap is not a memory ceiling	-	sc-14	the surface diff attributes a measured change to this issue's resolution; see surface-changes.tsv for the item, the legality and the evidence	C	fix	Closed 2026-08-27. The owner ruled for a new member rather than riding on state_unsnapshotable — a failure with a limit reports its limit — and the ceiling landed as state_tree_too_large, naming the total read and the largest contributors. Its active row forecast this exact shape: the member was implemented and unmerged when the sweep shipped, so the gate reported it as post-sweep drift when it landed, by design.
325	active	a relative define.state in a case file resolves against the invoker's cwd, unlike a config's	replay-compatibility	-	refusing a relative state in a case file changes which case shapes the engine accepts, which is the travel-together half of surface 4	D	defer	Found during #266's security review. Fail-closed today under --state-under, and cases the engine writes always carry absolute state, so the hole needs a hand-written case to reach.
328	active	what #266's close did not close: the hostile-case residue, tracked	none	-	the residue is about what a case's commands DO on replay, which ADR 0010 places outside the engine's containment; no frozen surface	D	tracked	Held open deliberately. Movement means the ADR 0010 posture changing — sandboxed execution, or a declared non-goal with the deployment guidance strengthened — which is an owner decision with its own cost line.
337	active	relay the oracle's decomposition, not the raw strace line	report-schema	-	the issue states the blocker itself: message is a report field, so its MEANING is frozen surface 2, and changing what it carries is a breaking change rather than an additive one	D	defer	The sharpest self-declared toucher in this sweep. Blocked by the freeze rather than handled by #326's marking, and the issue exists because only the second of those had been written down.
338	active	compare device and inode across the check and the open	none	-	an internal hardening of the destructive path; no frozen surface	D	defer	#335 changed the cost: one side of the comparison is already an open descriptor. Closes the check-to-open race outright; the pre-existing bind mount stays open and cannot be closed this way.
339	active	acceptance plants a forged closing banner; the opening banner is the untested half	none	-	an acceptance leg and one clause of a tool description; the isError rule and the tool names are untouched	D	defer	A counting reader is structurally unaffected because everything before the real banner comes from closed sets; a scanning reader is not.
341	active	four of #239's new predicates have no fixture	none	-	spike gate internals, outside the five surfaces	C	defer	The predicates are live today; what is missing is the proof that they stay live.
342	active	the ledger sizes are prose outside the generated block, and nothing recomputes them	none	-	a generated-docs bookkeeping question, outside the five surfaces	C	defer	The files cannot drift from each other; what can drift is the page's description of them, and a reader checking completeness reads the prose.
344	active	the fsevents sensitivity leg needs an msync-class mutation	none	-	spike apparatus for a route that is itself undecided	C	defer	Belongs to #293's owner: whether the apparatus is rebuilt at all is part of the route-B decision.
345	active	what no in-file check can see: a watched name deleted from every list at once	none	-	a limit of a spike ratchet, outside the five surfaces	C	tracked	The ratchet's falsification found its own boundary. The current state — documented limit, partial anchor, review ownership — may be the honest optimum.
347	active	a generation can be marked complete with a SETUP_ERROR in it	none	-	spike measurement tooling, outside the five surfaces	C	defer	A hand-run gate is not a gate; the reasoning that kept the check out of the measurement PR expires with that PR.
348	active	apparatus.txt is written and never read, and a flagged trial is checked in one place	none	-	spike measurement tooling, outside the five surfaces	C	defer	The conservation check is what catches a renderer dropping rows from an aggregate, which the flag guard cannot see.
349	active	reports carry no generation or run identity: a swapped report passes every check	none	-	the cheapest fix is a sha in the sweep manifest, which is spike tooling; the alternative (a run identifier the engine is told) would be a config surface question, and the issue says so rather than assuming it	C	defer	Measured, not supposed: twenty-eight shared reports copied byte-for-byte between generations produced a green check.
350	active	committed oracle logs carry the sweep machine's absolute paths	none	-	committed evidence and a spike capture step; no frozen surface	C	defer	No keys or tokens are present, checked. What the paths do is put a machine layout into a public record permanently, and every re-sweep adds more.
352	active	a refusal before the oracle block says no oracle was given, on runs that gave one	report-schema	-	the oracle string is an account field, and surface 2 says the account fields' prose may improve between releases — so correcting it is inside the promise, not against it	B	defer	The machine-readable surface stays honest (oracle_verified: false is correct for every one of these); what is wrong is the prose a human reads in the same document.
356	active	the three documents that carry criterion 3's reopen rule can drift apart unchecked	none	-	release-gate bookkeeping across three documents, outside the five surfaces	C	defer	The predicate is written out in the issue. #240 ran it as a throwaway script deliberately; that reasoning expired with the PR.
357	active	a quoted figure is checked for existence in a source, not for being the right figure	none	-	an acceptance check over committed prose, outside the five surfaces	C	defer	The issue records the honest weighing itself: this failure mode has one measured instance (a mutant) and the one review caught has three.
359	active	where the root denylists live: engine.zig hosts a rule two consumers share	none	-	an internal placement question; both entry points keep their names and signatures	D	defer	The issue also records that #329's plan gave a false reason for not doing it, so that reason is not inherited.
360	active	four ADRs still say Proposed after their implementing PRs merged	none	-	repository bookkeeping, outside the five surfaces	C	defer	This PR flips 0027 and lands 0028 Accepted, which does not touch the four the issue names (0022, 0023, 0024, 0026).
363	resolved	eight non-snapshot refusals still exit 3 after the define has run	-	sc-15 sc-16	the surface diff attributes a measured change to this issue's resolution; see surface-changes.tsv for the item, the legality and the evidence	C	fix	Closed 2026-08-28. Group B: the engine failing to rewrite the state tree it recorded, after the define has run, answers UNKNOWN state_rewrite_failed instead of exit 3 at the two restore sites and the corruption site — one closed-set member, three exit paths moved from 3 to 2. Group A's five apparatus reads stay exit 3 under the spawnFailure adjudication recorded on the issue; the remaining :1413 wording fix carries no tag deadline and left the tracker with the close.
365	resolved	the trace-cap CI step's sha comparison cannot see an edit to the shipped value	-	none	a CI differential check; the resolution asserts the shipped option values in unit tests and the wiring at configure time, adding no public surface, so no frozen surface moves	C	fix	Resolved by asserting the shipped build values in unit tests (engine and shim), a declaration-count ratchet per options module (three in the engine's, one in the shim's) so a further option cannot arrive unchecked, and a configure-time assertion that each shipped artifact is built with the module those tests read — without that last one, repointing the artifact's import was a single edit the suite could not see. The issue's own measurement read wider than it was: a 64-byte ceiling does NOT go out green, because every acceptance leg that drives the shipped binary refuses on a trace that size. What goes out green is a quiet edit — measured at 128 MiB, where the sha step stayed green while `zig build test` went red. The loud half is read off spike/acceptance.sh, not run.
5	resolved	restore drops FIFOs/sockets/devices; worlds differ from the recorded tree (symlinks fixed in #122)	-	not-measured	reading taken by the 2026-08-17/18 sweeps: yes — verdict soundness	A	demote	detect a non-regular, non-symlink entry at snapshot time and refuse (UNKNOWN) rather than explore a tree that cannot be reproduced. Fix lands before the tag. **Landed 2026-08-17**: `unsupported_state_entry` fires at all three snapshots (initial, final, crashed — the last catching entries no syscall witness saw born), and the demotion's own review first forced the entrance repair: the `DT_UNKNOWN` fallback used to probe by opening, which hangs on a FIFO and misclassifies sockets and devices — classification is by `statx`/`fstatat` now, no open, no follow
6	resolved	the oracle reads any quoted string on a strace line as a path; a target that *prints* a state path draws a false refusal	-	not-measured	reading taken by the 2026-08-17/18 sweeps: no — internal parsing precision, fails closed, fix is non-breaking	B	measured-already-fixed	~~stays open; fixable in any 1.x~~ **Closed 2026-08-18, measured already-fixed**: the issue predates ADR 0006 (2026-08-11), whose typed resolver names this false-positive verbatim in its Context and closed it — a classified `write` is an fd syscall, scoped from its descriptor annotation only, and the named unit pin exists ("a state-directory string inside a write buffer is not scope"; mutation-checked once with attribution fixed by `--test-filter`). The close is scoped to the named case: the conservative whole-line net remains for *unclassified* syscalls and only ever refuses — deliberate fail-closed residue The page left this row's class blank, from the era before class applied to every row. Assigned B: internal parsing precision, fails closed, and the fix was non-breaking.
10	resolved	macOS Apple platform binaries can never be observed; the docs imply a narrower limit	-	not-measured	reading taken by the 2026-08-17/18 sweeps: yes — the stated promise	A	narrow	`docs/target-classes.md` states plainly that a macOS target must be self-built or self-installed, never an Apple-shipped binary. The README stays under its cut-only order. **Landed 2026-08-18, wider than adjudicated here by owner decision**: the report's macOS build also named an Apple-shipped platform binary as *one possible cause* on the `no_shim_marker` detail line — never the cause; the review killed the attributing form, since the marker proves only that `shim_ready` never appeared — with the refusal shape pinned in the macOS CI job, each check predicate seen red once, and the Linux wording left byte-identical. **Superseded 2026-08-29 by #391**, which is this row's own reasoning carried one step further: naming a cause the engine had not looked at is what the clause did, and a user who checked all of the offered causes against an Apple-signed binary found every one false. The detail line now reports the fields read off the operation's executable and offers no candidates, on either platform, so the clause, the Linux wording and the clause half of the CI pin are all gone; the pin itself remains and now also asserts the old guesses are absent. This row is left as the record of what was decided in August, not as a description of what the report says Recorded on the page as class 'A-adjacent', which was not one of the three values the page defined; mapped to A here and the original word kept.
12	resolved	the omamori dogfood cannot be agent-driven	-	not-measured	reading taken by the 2026-08-17/18 sweeps: no — internal tooling	C	document	~~defer to 1.x~~ **Closed 2026-08-18, owner decision**: the by-design account was already on the record — PRD's v0.4 status carries the full account (the guards fire for a human at a terminal exactly as for an agent; measuring one would need break-glass, which removes the defence under test), and DESIGN says "not measured either way". Closed as documented, not as fixed; the audience-assumption generalisation went to `docs/scouting.md` as one sentence
13	resolved	stdio (fopen/fwrite) invisible to the shim	-	not-measured	reading taken by the 2026-08-17/18 sweeps: **stale** — fixed by ADR 0005 (flush-granularity observation), pinned by acceptance check 2u	B	measured-already-fixed	**close as fixed**; the unmeasured reach note (Go, raw syscalls) already lives on the target-classes page The page left this row's class blank. Assigned B: an observation-reach precision limit, stale and already fixed by ADR 0005.
26	resolved	target-chosen paths reach the text report unescaped	-	not-measured	reading taken by the 2026-08-17/18 sweeps: yes — report surface (text)	B	fix	~~document~~ **Corrected 2026-08-17, owner decision**: fixed ahead of the adjudicated minimum — the forged line was demonstrated on the pre-fix binary, the three target-chosen operands now reach the text defanged while the JSON keeps the exact bytes, and the acceptance suite pins both sides. Closes with the fix's merge
27	resolved	standard-form L0 misses a file replaced by a directory when pre or post content is empty — a real false-PASS window	-	not-measured	reading taken by the 2026-08-17/18 sweeps: yes — the meaning of PASS	A	measured-already-fixed	~~fix before the tag~~ **Corrected 2026-08-17, measured**: the issue predates #122, whose (kind, content) pair rule already closed the named window **for pairs that enter the plan** — the issue's own scenario, both empty sides, now lands as one unit pin per case through the real classify+judge path, and a kind-blind mutation reds each pin test individually while sparing the non-empty control. Closes as measured when the pin change merges. The measurement also found the adjacent gap *outside* the plan — the dir-to-dir pair exclusion — filed as #164 and fixed in the same change; #164 joins this table at the pre-tag re-sweep per the snapshot rule
35	resolved	L0 flags git's COMMIT_EDITMSG scratch file	-	not-measured	reading taken by the 2026-08-17/18 sweeps: yes — FAIL-side precision	B	document	document as a named precision limit on non-durable files — **executed 2026-08-17**: the scratch-file pattern joined the checker cookbook's failure-patterns list with the measured run cited. Closes as documented with that change's merge
46	resolved	no quiescence observation on the stdout capture under a tolerated boundary — a marker could silently vanish and skip L1	-	not-measured	reading taken by the 2026-08-17/18 sweeps: yes — PASS-side miss window	A	fix	before the tag: include the capture file in the same two-sample quiescence observation the state directory already gets (the issue's own fix shape). **Landed 2026-08-17** (PR #170): the capture joins the two-sample observation on both the recording and every world, arming extends to world-local boundary evidence, and the one open follow-on — whether a world-only boundary should refuse outright — is #169, deliberately out of this audit's scope because deciding it changes verdicts
58	resolved	acceptance asserts vs PYTHONOPTIMIZE	-	not-measured	reading taken by the 2026-08-17/18 sweeps: no — test infra	C	fix	~~defer~~ **Corrected 2026-08-17, owner decision**: fixed ahead of the adjudicated deferral — every judgment `assert` across both acceptance suites and the quickstart workflow replaced by explicit exits, the assert-version hole demonstrated once on falsified input, and both suites run entirely green under `PYTHONOPTIMIZE=1`. Closes with the fix's merge
86	resolved	this audit, and the amendment that added the MCP surface	-	none	criterion 5's own obligation issue, not a gap in a surface: the MCP-surface decision was recorded in it, which is not the same as touching that surface	C	fix	Closed 2026-08-18 by the re-sweep merge (PR #178) that installed the snapshot this sweep replaces. It sat in the ACTIVE table while closed, which is the inconsistency the gate's new predicate fixes.
140	resolved	criterion 1's search half	-	none	a process criterion, not a surface: it asks for a qualifying find under the provenance gate	C	fix	Closed 2026-08-25 (PR #319). Its close is what made #305 filable: the himalaya finding's fix changes the operation sequence, so leg C of the replay bar is structurally unreachable for it.
150	resolved	the FAIL headline counts the baseline under "crash worlds"	-	not-measured	reading taken by the 2026-08-17/18 sweeps: yes — reader-facing verdict label	B	fix	before the tag (relabel to explored worlds; sweep acceptance greps first). Machine fields are already correct. **Landed 2026-08-18**, wider than filed: the PASS headline carried the same mislabel (the issue never named it; the plan review did) and both verdicts now say explored worlds, with the printed numbers pinned against the same run's JSON `violations`/`explored` — a wording-only pin would have passed a wrongly-changed denominator
157	resolved	value pins cannot see a bool-vs-string type regression	-	not-measured	reading taken by the 2026-08-17/18 sweeps: no — test infra	C	fix	~~defer~~ **Corrected 2026-08-18, owner decision**: fixed ahead of the adjudicated deferral — the seven oracle_verified pins go through one typed predicate (`type is bool` with the value), self-falsified on every call against an in-memory string-"True" document through the same predicate. Closes with the fix's merge
159	resolved	README never introduces `--shim`/`--work` outside the Example	-	not-measured	reading taken by the 2026-08-17/18 sweeps: no — docs under the cut-only order	C	fix	~~awaiting the owner's call~~ **Resolved 2026-08-18, owner decision**: a minimal Usage addition — `--shim` and `--work` introduced in the README's flag list (PR #177); criterion 6's evidence stays the pre-change README's run, deliberately not re-measured
160	resolved	onboarding-clock hardening before run 2	-	none	experiment apparatus, outside the five surfaces	C	fix	Closed 2026-08-25 (PR #321), hardening the onboarding clock's instrument before any run 2.
164	resolved	a dir-to-dir pair is excluded from judgment entirely	-	not-measured	reading taken by the 2026-08-17/18 sweeps: yes — adjacent to #27's false-PASS window	A	fix	**Fixed 2026-08-17, by the same measurement that closed #27** (filed between the sweeps; #27's row promised this row would join at the re-sweep): the pair-rule exclusion #27's measurement surfaced *outside* the plan, closed in the same change with per-case unit pins
165	resolved	(accidental duplicate of #164)	-	not-measured	the 2026-08-17/18 sweeps recorded no reading for this row	C	duplicate	**Closed 2026-08-17 as a duplicate**: a shell precedence slip in the filing command created the same issue twice; #164 is canonical The page left this row's class blank. Assigned C: an accidental duplicate carries no failure direction of its own.
